timestamp,orig_framenumber,timestamp_number,flash_prediction,Gold_standard,TC_Present
2023-09-25 12:51:17.948638,5,46277,0,5,1
2023-09-25 12:51:19.910535,64,46279,0,5,1
2023-09-25 12:51:21.880182,123,46281,0,5,1
2023-09-25 12:51:23.842791,182,46283,0,5,1
2023-09-25 12:51:25.809086,241,46285,0,5,1
2023-09-25 12:51:27.773201,300,46287,1,5,1
2023-09-25 12:51:29.736611,359,46289,0,5,1
2023-09-25 12:51:31.701385,418,46291,0,5,1
2023-09-25 12:51:33.669214,477,46293,0,5,1
2023-09-25 12:51:35.632484,536,46295,0,5,1
2023-09-25 12:51:37.596803,595,46297,0,5,1
2023-09-25 12:51:39.561234,654,46299,1,5,1
2023-09-25 12:51:41.530704,713,46301,1,5,1
2023-09-25 12:51:43.496975,772,46303,1,5,1
2023-09-25 12:51:45.456890,831,46305,1,5,1
2023-09-25 12:51:47.424812,890,46307,0,5,1
2023-09-25 12:51:49.389498,949,46309,0,5,1
2023-09-25 12:51:51.353722,1008,46311,1,5,1
2023-09-25 12:51:53.316933,1067,46313,1,5,1
2023-09-25 12:51:55.287299,1126,46315,0,5,1
2023-09-25 12:51:57.249559,1185,46317,0,5,1
2023-09-25 12:51:59.213256,1244,46319,0,5,1
2023-09-25 12:52:01.181191,1303,46321,0,5,1
2023-09-25 12:52:03.148254,1362,46323,0,5,1
2023-09-25 12:52:05.109481,1421,46325,0,5,1
2023-09-25 12:52:07.073179,1480,46327,0,5,1
2023-09-25 12:52:09.043096,1539,46329,0,5,1
2023-09-25 12:52:11.005229,1598,46331,0,5,1
2023-09-25 12:52:12.981014,1657,46332,0,5,1
2023-09-25 12:52:14.946966,1716,46334,0,5,1
2023-09-25 12:52:16.903003,1775,46336,0,5,1
2023-09-25 12:52:18.865308,1834,46338,0,5,1
2023-09-25 12:52:20.845715,1893,46340,1,5,1
2023-09-25 12:52:22.807055,1952,46342,0,5,1
2023-09-25 12:52:24.773700,2011,46344,1,5,1
2023-09-25 12:52:26.736631,2070,46346,0,5,1
2023-09-25 12:52:28.705577,2129,46348,0,5,1
2023-09-25 12:52:30.667063,2188,46350,0,5,1
2023-09-25 12:52:32.632955,2247,46352,0,5,1
2023-09-25 12:52:34.598757,2306,46354,0,5,1
2023-09-25 12:52:36.556634,2365,46356,0,5,1
2023-09-25 12:52:38.517758,2424,46358,0,5,1
2023-09-25 12:52:40.493344,2483,46360,0,5,1
2023-09-25 12:52:42.459154,2542,46362,0,5,1
2023-09-25 12:52:44.425168,2601,46364,1,5,1
2023-09-25 12:52:46.386848,2660,46366,0,5,1
2023-09-25 12:52:48.357533,2719,46368,1,5,1
2023-09-25 12:52:50.318854,2778,46370,0,5,1
2023-09-25 12:52:52.286106,2837,46372,0,5,1
2023-09-25 12:52:54.247174,2896,46374,0,5,1
2023-09-25 12:52:56.206672,2955,46376,0,5,1
2023-09-25 12:52:58.169977,3014,46378,0,5,1
2023-09-25 12:53:00.144819,3073,46380,0,5,1
2023-09-25 12:53:02.111067,3132,46382,0,5,1
2023-09-25 12:53:04.078103,3191,46384,0,5,1
2023-09-25 12:53:06.039082,3250,46386,1,5,1
2023-09-25 12:53:08.005374,3309,46388,1,5,1
2023-09-25 12:53:09.971381,3368,46389,0,5,1
2023-09-25 12:53:11.937681,3427,46391,0,5,1
2023-09-25 12:53:13.899035,3486,46393,0,5,1
