dateTimeStamp,TC_gaze,TC_exposure_only
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,1,0
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,1,0
9/25/2023 12:51,0,0
9/25/2023 12:51,1,0
9/25/2023 12:51,0,0
9/25/2023 12:51,1,0
9/25/2023 12:51,0,0
9/25/2023 12:51,1,0
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,1,0
9/25/2023 12:51,0,0
9/25/2023 12:51,1,0
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:51,0,0
9/25/2023 12:51,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,1,0
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,1,0
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,1,0
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,1,0
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:52,0,1
9/25/2023 12:52,0,0
9/25/2023 12:53,0,1
9/25/2023 12:53,0,0
9/25/2023 12:53,0,1
9/25/2023 12:53,0,0
9/25/2023 12:53,0,1
9/25/2023 12:53,0,0
9/25/2023 12:53,1,0
9/25/2023 12:53,0,0
9/25/2023 12:53,1,0
9/25/2023 12:53,0,1
9/25/2023 12:53,0,0
9/25/2023 12:53,0,1
9/25/2023 12:53,0,0
9/25/2023 12:53,0,1
9/25/2023 12:53,0,0
9/25/2023 12:53,0,1
9/25/2023 12:53,0,0
9/25/2023 12:53,0,1
