dateTimeStamp,TC_gaze,TC_exposure_only
2023-09-25 12:51:17,0,1
2023-09-25 12:51:19,0,1
2023-09-25 12:51:21,0,1
2023-09-25 12:51:23,0,1
2023-09-25 12:51:25,0,1
2023-09-25 12:51:27,1,0
2023-09-25 12:51:29,0,1
2023-09-25 12:51:31,0,1
2023-09-25 12:51:33,0,1
2023-09-25 12:51:35,0,1
2023-09-25 12:51:37,0,1
2023-09-25 12:51:39,1,0
2023-09-25 12:51:41,1,0
2023-09-25 12:51:43,1,0
2023-09-25 12:51:45,1,0
2023-09-25 12:51:47,0,1
2023-09-25 12:51:49,0,1
2023-09-25 12:51:51,1,0
2023-09-25 12:51:53,1,0
2023-09-25 12:51:55,0,1
2023-09-25 12:51:57,0,1
2023-09-25 12:51:59,0,1
2023-09-25 12:52:01,0,1
2023-09-25 12:52:03,0,1
2023-09-25 12:52:05,0,1
2023-09-25 12:52:07,0,1
2023-09-25 12:52:09,0,1
2023-09-25 12:52:11,0,1
2023-09-25 12:52:12,0,1
2023-09-25 12:52:14,0,1
2023-09-25 12:52:16,0,1
2023-09-25 12:52:18,0,1
2023-09-25 12:52:20,1,0
2023-09-25 12:52:22,0,1
2023-09-25 12:52:24,1,0
2023-09-25 12:52:26,0,1
2023-09-25 12:52:28,0,1
2023-09-25 12:52:30,0,1
2023-09-25 12:52:32,0,1
2023-09-25 12:52:34,0,1
2023-09-25 12:52:36,0,1
2023-09-25 12:52:38,0,1
2023-09-25 12:52:40,0,1
2023-09-25 12:52:42,0,1
2023-09-25 12:52:44,1,0
2023-09-25 12:52:46,0,1
2023-09-25 12:52:48,1,0
2023-09-25 12:52:50,0,1
2023-09-25 12:52:52,0,1
2023-09-25 12:52:54,0,1
2023-09-25 12:52:56,0,1
2023-09-25 12:52:58,0,1
2023-09-25 12:53:00,0,1
2023-09-25 12:53:02,0,1
2023-09-25 12:53:04,0,1
2023-09-25 12:53:06,1,0
2023-09-25 12:53:08,1,0
2023-09-25 12:53:09,0,1
2023-09-25 12:53:11,0,1
2023-09-25 12:53:13,0,1
2023-09-25 12:53:15,0,1
2023-09-25 12:53:17,0,1
2023-09-25 12:53:19,0,1
2023-09-25 12:53:21,0,1
2023-09-25 12:53:23,0,1
2023-09-25 12:53:25,0,1
2023-09-25 12:53:27,0,1
2023-09-25 12:53:29,1,0
2023-09-25 12:53:31,1,0
2023-09-25 12:53:33,1,0
2023-09-25 12:53:35,1,0
2023-09-25 12:53:37,1,0
2023-09-25 12:53:39,1,0
2023-09-25 12:53:41,1,0
2023-09-25 12:53:43,1,0
2023-09-25 12:53:45,1,0
2023-09-25 12:53:47,1,0
2023-09-25 12:53:49,1,0
2023-09-25 12:53:51,1,0
2023-09-25 12:53:53,1,0
2023-09-25 12:53:55,0,1
2023-09-25 12:53:57,0,1
2023-09-25 12:53:59,1,0
2023-09-25 12:54:01,1,0
2023-09-25 12:54:03,1,0
2023-09-25 12:54:04,0,1
2023-09-25 12:54:06,0,1
2023-09-25 12:54:08,1,0
2023-09-25 12:54:10,0,1
2023-09-25 12:54:12,1,0
2023-09-25 12:54:14,1,0
2023-09-25 12:54:16,1,0
2023-09-25 12:54:18,1,0
2023-09-25 12:54:20,0,1
2023-09-25 12:54:22,0,1
2023-09-25 12:54:24,1,0
2023-09-25 12:54:26,1,0
2023-09-25 12:54:28,0,1
2023-09-25 12:54:30,1,0
2023-09-25 12:54:32,0,1
2023-09-25 12:54:34,0,1
2023-09-25 12:54:36,1,0
2023-09-25 12:54:38,1,0
2023-09-25 12:54:40,0,1
2023-09-25 12:54:42,0,1
2023-09-25 12:54:44,0,1
2023-09-25 12:54:46,0,1
2023-09-25 12:54:48,0,1
2023-09-25 12:54:50,0,1
2023-09-25 12:54:52,0,1
2023-09-25 12:54:54,0,1
2023-09-25 12:54:56,0,1
2023-09-25 12:54:58,0,1
2023-09-25 12:55:00,0,1
2023-09-25 12:55:01,0,1
2023-09-25 12:55:03,0,1
2023-09-25 12:55:05,0,1
2023-09-25 12:55:07,0,1
2023-09-25 12:55:09,0,1
2023-09-25 12:55:11,0,1
2023-09-25 12:55:13,0,1
2023-09-25 12:55:15,0,1
2023-09-25 12:55:17,0,1
2023-09-25 12:55:19,0,1
2023-09-25 12:55:21,0,1
2023-09-25 12:55:23,0,1
2023-09-25 12:55:25,0,1
2023-09-25 12:55:27,0,1
2023-09-25 12:55:29,1,0
2023-09-25 12:55:31,0,1
2023-09-25 12:55:33,0,1
2023-09-25 12:55:35,1,0
2023-09-25 12:55:37,1,0
2023-09-25 12:55:39,0,1
2023-09-25 12:55:41,0,1
2023-09-25 12:55:43,0,1
2023-09-25 12:55:45,0,1
2023-09-25 12:55:47,1,0
2023-09-25 12:55:49,0,1
2023-09-25 12:55:51,0,1
2023-09-25 12:55:53,0,1
2023-09-25 12:55:55,0,1
