date TimeStamp frameNum numFaces tcPresent phi theta sigma rot. top left bottom right tag
2023-09-25 12:51:17.948638 000005 3 1 1.6379167 0.20796706 0.103465736 23.19859051364819 90 410 111 423 Gaze-det
2023-09-25 12:51:19.910535 000064 3 1 1.3410205 0.12996642 0.09078123 23.19859051364819 90 410 111 423 Gaze-det
2023-09-25 12:51:21.880182 000123 3 1 1.3885705 0.03737196 0.1059619 23.19859051364819 90 410 111 424 Gaze-det
2023-09-25 12:51:23.842791 000182 3 1 1.462447 -0.06038789 0.122003764 23.19859051364819 90 411 111 424 Gaze-det
2023-09-25 12:51:25.809086 000241 3 1 1.395493 0.152886 0.120263465 16.69924423399362 89 411 110 425 Gaze-det
2023-09-25 12:51:27.773201 000300 3 1 0.002104343 0.010559942 0.046255484 7.765166018425333 89 412 110 428 Gaze-det
2023-09-25 12:51:29.736611 000359 3 1 0.8342807 0.06262687 0.04021367 7.765166018425333 90 412 111 428 Gaze-det
2023-09-25 12:51:31.701385 000418 3 1 0.8292976 0.07631303 0.04621732 0.0 90 412 110 427 Gaze-det
2023-09-25 12:51:33.669214 000477 3 1 1.5062898 0.09840191 0.0862392 23.19859051364819 89 410 110 423 Gaze-det
2023-09-25 12:51:35.632484 000536 3 1 1.5081328 0.07043795 0.11708859 12.994616791916505 89 412 110 426 Gaze-det
2023-09-25 12:51:37.596803 000595 3 1 0.31454092 -0.6699541 0.33685672 0.0 89 414 110 431 Gaze-det
2023-09-25 12:51:39.561234 000654 3 1 -0.02383034 -0.016050195 0.032161307 6.581944655178011 92 414 112 431 Gaze-det
2023-09-25 12:51:41.530704 000713 3 1 -0.0016467891 -0.056516044 0.029369067 6.84277341263094 92 413 113 431 Gaze-det
2023-09-25 12:51:43.496975 000772 3 1 0.045553472 -0.13846289 0.033419795 6.581944655178011 92 414 113 431 Gaze-det
2023-09-25 12:51:45.456890 000831 3 1 0.018687224 -0.056278236 0.029009502 6.581944655178011 92 414 113 431 Gaze-det
